ticid,periods
366631954,11.87889669
367366318,1.365444311
367366318,1.363864542
367366318,1.388810969
368287008,5.853972722
368435330,4.029749377
371443216,7.092381562
373693175,4.875436292
374180079,8.037849171
376524552,5.033156261
377293776,10.60214554
377871791,3.082687107
377915723,4.884601662
380619414,7.863056871
380887434,15.03860618
382602147,9.168340923
382602147,9.234774524
382626661,13.74408249
383390264,2.248624866
383390264,2.431981657
383390264,2.453628699
383390264,2.348993531
383390264,2.335934731
383390264,2.31996389
383390264,2.334711324
383390264,2.361132053
383390264,2.358190742
384984325,3.248535748
384984325,3.080671795
384984325,3.080482464
388076422,10.56362392
390001646,2.918164414
390001646,2.907017695
390001646,2.880064246
391903064,3.321428393
391903064,3.329482942
391903064,3.371782127
391903064,3.323809074
391903064,3.355474448
391903064,3.294546511
391903064,3.335472083
391903064,3.354253434
391903064,3.391360476
391903064,3.326658909
391903064,3.337696486
391903064,3.376457744
391903064,3.501729561
391903064,3.483737116
391903064,3.379729165
391903064,3.314753412
391903064,3.439989261
391903064,3.262545775
391903064,3.345751419
391903064,3.363372438
391903064,3.364415512
391903064,3.250528389
391903064,3.325576711
391903064,3.304552326
391903064,3.314303584
391903064,3.359543886
391903064,3.347225337
391903064,3.360911231
391903064,3.387695509
391903064,3.387550321
391903064,3.322426789
391903064,3.322311815
391903064,3.357810659
391903064,3.336585624
391903064,3.318688465
391903064,3.339518525
391903064,3.319948024
391903064,3.318649382
391903064,3.394415086
391903064,3.394167464
391903064,3.310725438
391903064,3.314869051
391903064,3.334030184
391903064,3.333918558
391903064,3.32522038
391903064,3.359349552
391903064,3.333292051
391903064,3.332514095
391903064,3.349465207
391903064,3.404499092
391903064,3.427454441
391903064,3.403332015
391903064,3.451693823
391903064,3.346773934
391903064,3.354130405
391903064,3.368861315
391949880,10.86169781
391949880,9.096844308
391949880,10.00877825
391949880,9.96667863
391949880,9.330816259
391949880,9.979624518
391958006,4.436971079
391958006,4.645577711
391958006,4.64532965
392353449,0.620134819
392476080,0.336540804
392476080,0.336837753
393818343,8.088492042
394137592,10.94045411
395171208,5.368069719
395171208,5.367808881
395171208,5.466252006
395171208,5.253836561
395393265,13.82231616
397362481,8.55622082
397362481,9.31857512
398895470,6.083597682
398943781,9.28918333
398943781,9.283394941
399402994,11.34751038
399954349,5.355419872
399954349,9.369107864
399954349,5.412708338
399954349,9.741912194
399954349,5.151939466
399954349,5.16341335
399954349,5.163145159
399954349,5.399307883
399954349,5.399033727
399954349,10.37090897
399954349,5.283960408
402828941,4.342187481
404421005,8.629533409
404518509,10.03370411
406950324,10.03565268
408310006,6.423706912
410214986,2.846677575
410214986,2.996307592
410214986,3.023775163
410214986,2.858551744
410214986,2.860297675
410214986,2.9414185
410214986,2.933234909
410214986,2.92587917
410214986,2.989653369
417659456,4.824383219
417676802,0.170202296
417931300,8.341158539
417948359,13.18771968
420814525,3.770620198
422618449,12.04928392
424435940,9.049945084
425997655,10.94058276
427685831,9.417845688
428679607,12.19173211
428820090,6.363299608
428820090,6.363051251
431701493,12.17980558
432247315,5.7598597
432549364,0.607259737
432549364,0.608950486
434226736,1.892771337
434226736,1.874789403
434226736,1.874740232
434226736,1.876567733
434226736,1.874879687
435339847,9.50427822
435339847,9.227372199
436575927,6.342617524
436873727,1.015885
436873727,1.019633674
436873727,1.019569029
436873727,1.025604761
436873727,1.019923875
436873727,1.016598844
436873727,1.016528745
437011608,9.174843022
437011608,9.118523447
437011608,9.199079332
437248515,9.325962411
437856897,5.011982883
439456714,11.27316159
439842788,7.402108456
439842788,13.48015695
440113053,3.577984151
440113053,3.439204042
440113053,3.533458856
440887364,10.46829592
441420236,4.878795942
441420236,4.855270913
441420236,4.854956536
441420236,4.798564522
441420236,4.818913113
441546821,1.569893579
441765914,13.00778486
443616612,9.211689066
443616612,8.671088443
445805961,10.61293948
445859771,6.950702798
446549906,8.584102879
447061717,13.42984176
448098793,4.076678708
456862677,7.905435282
456862677,7.832744951
456945304,6.359790673
456945304,6.628864161
456945304,6.703325363
458478250,4.50650818
458478250,4.690411937
459730973,5.959095518
460205581,2.952572537
460205581,3.000456532
460205581,2.987806308
460205581,3.040379029
460205581,3.040266559
460205581,2.94317853
460205581,3.008846122
464646604,2.240339446
464646604,2.235864488
464646604,2.240580607
464646604,2.207015367
464646604,2.243738463
464646604,2.233696527
464646604,2.228824253
465390152,9.80271807
465390152,9.985184759
466884459,5.921955847
466884459,5.799189828
466884459,5.671638143
466884459,5.821108497
468989066,5.120918982
